Symbol,Date,Open,High,Low,Close,Volume
MOM50,2010-07-30 00:00:00+05:30,80.0,80.0,77.55,78.47,7793841
MOM50,2010-08-02 00:00:00+05:30,78.99,78.99,77.75,77.89,213166
MOM50,2010-08-03 00:00:00+05:30,78.8,78.8,77.5,77.54,71727
MOM50,2010-08-04 00:00:00+05:30,78.19,78.4,77.31,78.35,372118
MOM50,2010-08-05 00:00:00+05:30,78.49,78.5,77.7,78.26,690316
MOM50,2010-08-06 00:00:00+05:30,78.08,78.45,77.9,78.22,629115
MOM50,2010-08-09 00:00:00+05:30,78.5,78.95,77.75,78.72,199762
MOM50,2010-08-10 00:00:00+05:30,79.38,79.38,77.83,77.87,45333
MOM50,2010-08-11 00:00:00+05:30,78.5,78.75,77.83,78.21,123228
MOM50,2010-08-12 00:00:00+05:30,78.2,78.5,77.58,78.25,48444
MOM50,2010-08-13 00:00:00+05:30,78.5,78.73,77.87,78.35,298212
MOM50,2010-08-16 00:00:00+05:30,78.6,78.9,77.9,77.94,34054
MOM50,2010-08-17 00:00:00+05:30,78.34,78.34,77.66,78.08,29756
MOM50,2010-08-18 00:00:00+05:30,78.4,79.8,77.95,79.41,576378
MOM50,2010-08-19 00:00:00+05:30,79.85,80.6,78.8,80.34,731751
MOM50,2010-08-20 00:00:00+05:30,79.74,80.11,79.1,79.64,303323
MOM50,2010-08-23 00:00:00+05:30,80.48,81.1,79.67,80.95,1214860
MOM50,2010-08-24 00:00:00+05:30,80.51,81.95,79.82,80.06,243070
MOM50,2010-08-25 00:00:00+05:30,80.55,80.55,78.91,79.24,39738
MOM50,2010-08-26 00:00:00+05:30,79.05,80.37,79.02,79.66,79262
MOM50,2010-08-27 00:00:00+05:30,79.98,80.0,78.9,79.47,212181
MOM50,2010-08-30 00:00:00+05:30,80.5,80.5,79.0,79.41,276705
MOM50,2010-08-31 00:00:00+05:30,79.8,79.8,77.8,78.86,46011
MOM50,2010-09-01 00:00:00+05:30,80.0,80.7,79.0,79.69,90260
MOM50,2010-09-02 00:00:00+05:30,79.95,80.8,79.5,80.39,154156
MOM50,2010-09-03 00:00:00+05:30,80.75,80.75,79.38,79.88,43620
MOM50,2010-09-06 00:00:00+05:30,80.59,80.85,79.61,80.54,80837
MOM50,2010-09-07 00:00:00+05:30,80.7,80.9,80.07,80.7,103854
MOM50,2010-09-08 00:00:00+05:30,80.0,80.89,80.0,80.66,102063
MOM50,2010-09-09 00:00:00+05:30,81.4,84.8,80.52,81.6,335859
MOM50,2010-09-13 00:00:00+05:30,82.01,83.1,81.23,82.24,494752
MOM50,2010-09-14 00:00:00+05:30,82.94,83.2,82.11,82.92,243813
MOM50,2010-09-15 00:00:00+05:30,83.25,84.7,82.8,83.7,304429
MOM50,2010-09-16 00:00:00+05:30,84.19,85.4,83.5,83.99,231480
MOM50,2010-09-17 00:00:00+05:30,85.5,85.5,83.56,83.98,51368
MOM50,2010-09-20 00:00:00+05:30,84.0,85.1,83.64,84.93,90670
MOM50,2010-09-21 00:00:00+05:30,85.0,86.3,84.45,85.41,246737
MOM50,2010-09-22 00:00:00+05:30,85.53,86.2,85.21,85.49,145516
MOM50,2010-09-23 00:00:00+05:30,85.11,85.5,84.46,85.0,63437
MOM50,2010-09-24 00:00:00+05:30,85.1,86.88,85.0,86.61,207927
MOM50,2010-09-27 00:00:00+05:30,86.7,87.79,86.12,87.2,78821
MOM50,2010-09-28 00:00:00+05:30,86.05,87.4,86.03,86.54,106460
MOM50,2010-09-29 00:00:00+05:30,87.8,87.8,86.55,87.03,104628
MOM50,2010-09-30 00:00:00+05:30,87.0,87.75,86.09,87.23,82154
MOM50,2010-10-01 00:00:00+05:30,86.95,88.75,86.95,88.5,171483
MOM50,2010-10-04 00:00:00+05:30,88.0,90.0,88.0,89.87,61522
MOM50,2010-10-05 00:00:00+05:30,90.89,90.89,89.2,90.18,39527
MOM50,2010-10-06 00:00:00+05:30,91.0,91.8,89.8,91.4,1285074
MOM50,2010-10-07 00:00:00+05:30,91.45,91.45,89.9,90.44,50649
MOM50,2010-10-08 00:00:00+05:30,91.0,91.5,88.55,89.63,269656
MOM50,2010-10-11 00:00:00+05:30,90.9,90.9,89.57,89.62,99823
MOM50,2010-10-12 00:00:00+05:30,90.5,90.5,88.62,89.73,42174
MOM50,2010-10-13 00:00:00+05:30,90.07,92.9,89.25,91.61,68107
MOM50,2010-10-14 00:00:00+05:30,91.8,93.2,90.05,90.28,140042
MOM50,2010-10-15 00:00:00+05:30,90.11,91.59,89.15,89.75,67169
MOM50,2010-10-18 00:00:00+05:30,89.75,92.0,88.12,89.85,69268
MOM50,2010-10-19 00:00:00+05:30,89.0,90.65,88.55,89.24,233618
MOM50,2010-10-20 00:00:00+05:30,88.75,89.34,87.5,87.87,19419
MOM50,2010-10-21 00:00:00+05:30,79.4,89.5,79.4,88.74,37275
MOM50,2010-10-22 00:00:00+05:30,102.0,102.0,88.05,88.33,446660
MOM50,2010-10-25 00:00:00+05:30,88.22,91.5,87.12,88.2,270899
MOM50,2010-10-26 00:00:00+05:30,87.21,88.71,86.14,87.67,30738
MOM50,2010-10-27 00:00:00+05:30,88.0,88.29,87.04,87.43,363949
MOM50,2010-10-28 00:00:00+05:30,88.22,93.5,86.2,89.79,49999
MOM50,2010-10-29 00:00:00+05:30,89.79,89.79,85.5,86.16,628486
MOM50,2010-11-01 00:00:00+05:30,87.2,88.5,86.5,86.86,1462423
MOM50,2010-11-02 00:00:00+05:30,87.1,87.85,86.6,86.82,15211
MOM50,2010-11-03 00:00:00+05:30,87.2,88.28,86.94,87.39,26624
MOM50,2010-11-04 00:00:00+05:30,88.0,90.0,87.5,89.35,65435
MOM50,2010-11-05 00:00:00+05:30,91.0,91.0,89.0,89.59,25368
MOM50,2010-11-08 00:00:00+05:30,98.0,98.0,89.11,90.8,79404
MOM50,2010-11-09 00:00:00+05:30,90.0,90.5,89.4,89.73,20375
MOM50,2010-11-10 00:00:00+05:30,90.0,90.45,88.22,89.13,36500
MOM50,2010-11-11 00:00:00+05:30,100.0,100.0,88.0,88.11,18038
MOM50,2010-11-12 00:00:00+05:30,88.0,89.3,87.1,87.27,16183
MOM50,2010-11-15 00:00:00+05:30,86.11,89.95,86.11,88.63,31965
MOM50,2010-11-16 00:00:00+05:30,88.93,88.93,85.55,85.89,19139
MOM50,2010-11-18 00:00:00+05:30,85.03,87.8,84.8,86.55,20672
